match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
11588,67.0,148.0,3567.0,425,11655,0.005748605748605749,0.012698412698412698,210.0
43136,5.0,330.0,713.0,541,43141,0.00011589902876613894,0.00764933589856517,206.0
59978,14.0,131.0,2.0,164,59992,0.00023336444859314574,0.0021836244832644353,19.0
19517,30.0,197.0,3170.0,250,19547,0.0015347623676267457,0.010078272880748964,23.0
22911,11.0,74.0,68.0,97,22922,0.000479888316900794,0.0032283395864235232,12.0
401647,291.0,420.0,32559.0,1049,401938,0.0007239922575123526,0.0010449372788838079,338.0
73149,151.0,308.0,19643.0,736,73300,0.0020600272851296043,0.004201909959072305,277.0
15021,13.0,80.0,10567.0,116,15034,0.0008647066648929094,0.005321271783956366,23.0
31263,19.0,134.0,14575.0,233,31282,0.0006073780448820408,0.004283613579694393,80.0
21637,29.0,357.0,0.0,450,21666,0.0013385027231607126,0.01647743007477153,64.0
87609,116.0,155.0,5.0,319,87725,0.001322314049586777,0.0017668851524650898,48.0
901018,989.0,713.0,28.0,2568,902007,0.001096443819172135,0.000790459497542702,866.0
43940,73.0,390.0,0.0,583,44013,0.0016586008679253857,0.008861018335491787,120.0
61419,62.0,143.0,0.0,354,61481,0.0010084416323742295,0.0023259218295083035,149.0
73068,25.0,250.0,593.0,358,73093,0.0003420300165542528,0.003420300165542528,83.0
216645,225.0,764.0,2.0,1291,216870,0.0010374878959745469,0.003522847788998017,302.0
51360,34.0,96.0,88.0,287,51394,0.0006615558236370004,0.0018679223255632952,157.0
38348,21.0,233.0,0.0,354,38369,0.0005473168443274519,0.006072610701347442,100.0
32228,14.0,174.0,1298.0,230,32242,0.0004342162396873643,0.0053966875504000995,42.0
982480,671.0,1028.0,1812189.0,2999,983151,0.0006824994329457021,0.0010456176111299281,1300.0
886581,7528.0,7963.0,1610105.0,19191,894109,0.008419555110171131,0.008906072973205727,3700.0
245939,96.0,210.0,164958.0,479,246035,0.00039018838783099965,0.0008535370983803117,173.0
26657,74.0,651.0,7348.0,841,26731,0.002768321424563241,0.024353746586360407,116.0
847462,402.0,949.0,1108088.0,2149,847864,0.0004741326439145901,0.0011192832812809601,798.0
1075241,12512.0,13270.0,2268816.0,32452,1087753,0.011502611346509732,0.012199460723160497,6670.0
24945,200.0,295.0,0.0,604,25145,0.007953867568104992,0.011731954662954862,109.0
399453,6346.0,6745.0,114197.0,15629,405799,0.015638283978028533,0.016621529377844696,2538.0
30938,53.0,213.0,5502.0,351,30991,0.0017101739214610693,0.006872963118324675,85.0
7295,34.0,184.0,873.0,239,7329,0.004639104925637877,0.02510574430345204,21.0
611211,205.0,488.0,730863.0,1207,611416,0.0003352872675886794,0.0007981472516257344,514.0
6092,13.0,234.0,2000.0,276,6105,0.0021294021294021295,0.03832923832923833,29.0
1076722,608.0,799.0,4542188.0,2471,1077330,0.0005643581818013051,0.000741648334307965,1064.0
21245,95.0,424.0,0.0,601,21340,0.004451733833177133,0.019868791002811623,82.0
14555,43.0,411.0,7468.0,526,14598,0.0029456089875325385,0.028154541718043567,72.0
14836,90.0,130.0,7776.0,265,14926,0.006029746750636473,0.008709634195363795,45.0
2833995,2328.0,2406.0,3272169.0,7799,2836323,0.000820780990035338,0.0008482813840313674,3065.0
14846,81.0,172.0,12831.0,290,14927,0.005426408521471159,0.011522744020901721,37.0
2014968,952.0,1543.0,4225941.0,4062,2015920,0.00047224096194293423,0.0007654073574348188,1567.0
21610,98.0,371.0,2543.0,610,21708,0.004514464713469689,0.017090473558135248,141.0
24662,13.0,105.0,12029.0,135,24675,0.0005268490374873353,0.00425531914893617,17.0
1815099,1138.0,1492.0,6982249.0,4242,1816237,0.0006265702108260101,0.0008214786946857707,1612.0
30967,94.0,370.0,9.0,556,31061,0.003026303081034094,0.011912044042368243,92.0
2054861,1584.0,2008.0,5129257.0,5425,2056445,0.0007702613004481034,0.0009764423556185553,1833.0
24998,65.0,444.0,8900.0,641,25063,0.0025934644695367673,0.017715357299604995,132.0
83104,22.0,304.0,1179.0,484,83126,0.0002646584702740418,0.003657098861968578,158.0
54941,80.0,154.0,0.0,329,55021,0.0014539902946147834,0.002798931317133458,95.0
15415,133.0,163.0,0.0,360,15548,0.008554154875225109,0.010483663493696938,64.0
15391,16.0,186.0,0.0,226,15407,0.001038488998507172,0.012072434607645875,24.0
22641,39.0,234.0,1049.0,313,22680,0.0017195767195767196,0.010317460317460317,40.0
944742,538.0,885.0,5759220.0,2241,945280,0.0005691435341909275,0.0009362305348679757,818.0
424206,651.0,481.0,0.0,1581,424857,0.0015322802731271934,0.0011321456395916743,449.0
1760920,808.0,1777.0,339338.0,3898,1761728,0.00045864060740364004,0.00100866876157954,1313.0
1437611,518.0,1204.0,7122680.0,3027,1438129,0.00036019021937531336,0.0008371988882777553,1305.0
18614,47.0,178.0,315.0,270,18661,0.002518621724452066,0.009538609935158888,45.0
18361,43.0,277.0,457.0,360,18404,0.002336448598130841,0.015051075853075418,40.0
630305,258.0,469.0,1009585.0,1257,630563,0.0004091581650049242,0.0007437797650670908,530.0
2786,4.0,8.0,0.0,29,2790,0.0014336917562724014,0.002867383512544803,17.0
1077768,484.0,707.0,4929105.0,2076,1078252,0.00044887466009801047,0.0006556908774572178,885.0
560947,266.0,587.0,781214.0,1310,561213,0.0004739733398905585,0.0010459486861494655,457.0
29884,60.0,215.0,5119.0,695,29944,0.002003740315255143,0.007180069462997596,420.0
28095,44.0,172.0,19.0,236,28139,0.0015636660862148619,0.006112512882476278,20.0
21487,149.0,444.0,0.0,889,21636,0.006886670364207802,0.020521353300055462,296.0
21436,80.0,270.0,215.0,499,21516,0.0037181632273656814,0.012548800892359175,149.0
1222284,954.0,1159.0,2704580.0,3155,1223238,0.0007798972889985432,0.0009474852808692994,1042.0
28299,21.0,71.0,2622.0,117,28320,0.0007415254237288136,0.002507062146892655,25.0
11999,98.0,475.0,5125.0,691,12097,0.008101182111267256,0.039265933702570886,118.0
223628,106.0,340.0,370292.0,631,223734,0.0004737768957780221,0.0015196617411747878,185.0
39150,136.0,154.0,9813.0,573,39286,0.003461793005141781,0.003919971491116428,283.0
996471,898.0,925.0,2162068.0,2837,997369,0.000900368870498281,0.0009274400948896547,1014.0
21332,67.0,223.0,1283.0,458,21399,0.003130987429319127,0.01042104771250993,168.0
995227,343.0,969.0,1982093.0,2337,995570,0.000344526251293229,0.0009733117711461775,1025.0
25516,20.0,75.0,10097.0,195,25536,0.0007832080200501253,0.0029370300751879698,100.0
316992,184.0,369.0,988971.0,751,317176,0.0005801195550735239,0.0011633919338159256,198.0
1270533,1171.0,1696.0,2020134.0,4425,1271704,0.0009208117612274554,0.0013336436780886118,1558.0
7322,14.0,148.0,0.0,175,7336,0.0019083969465648854,0.020174482006543076,13.0
621600,472.0,924.0,2944465.0,2463,622072,0.0007587546136138582,0.0014853586080067903,1067.0
