NM,length,ratio,assembly
1005,43835,0.022926884909319004,CHM1
1348,35646,0.0378163047747293,CHM1
52,17870,0.00290990486849468,CHM1
408,32773,0.012449272266804999,CHM1
235,101766,0.0023092191891201396,CHM1
2273,103820,0.0218936621074937,CHM1
389,67702,0.00574576821955038,CHM1
5513,54787,0.10062606092686201,CHM1
4803,43392,0.11068860619469,CHM1
3532,38832,0.0909559126493614,CHM1
2762,24220,0.11403798513625098,CHM1
22129,191536,0.115534416506558,CHM1
6872,54550,0.12597616865261202,CHM1
3906,39134,0.0998109061174426,CHM1
3610,86161,0.041898306658464994,CHM1
1210,23522,0.0514412039792535,CHM1
908,16719,0.0543094682696334,CHM1
1330,37249,0.035705656527692003,CHM1
317,94674,0.00334833217145151,CHM1
868,43663,0.0198795318690882,CHM1
75,47648,0.00157404298186703,CHM1
1294,37973,0.0340768440734206,CHM1
391,100926,0.00387412559697204,CHM1
904,119820,0.00754465030879653,CHM1
648,53706,0.0120656909842476,CHM1
3531,188112,0.0187707323296759,CHM1
1009,682402,0.00147860059026791,CHM1
2805,61207,0.0458280915581551,CHM1
429,324530,0.0013219116876714,CHM1
387,104246,0.0037123726569844397,CHM1
1033,18880,0.0547139830508475,CHM1
155,54356,0.002851571123703,CHM1
877,739054,0.0011866521255551,CHM1
125,35312,0.00353987313094699,CHM1
643,51456,0.0124961131840796,CHM1
332,98476,0.00337137982858768,CHM1
169,11043,0.015303812369826999,CHM1
1948,1537924,0.00126664256491218,CHM1
2937,1353780,0.00216948100873111,CHM1
581,323069,0.0017983774363990398,CHM1
1822,709421,0.0025682916068173896,CHM1
128,576,0.222222222222222,CHM1
276,78376,0.0035214861692354797,CHM1
1143,332988,0.00343255612814876,CHM1
356,79695,0.00446703055398708,CHM1
805,655202,0.0012286287282395401,CHM1
180,55886,0.00322084242923093,CHM1
937,151861,0.0061701160930061,CHM1
107,44306,0.00241502279600957,CHM1
2439,439242,0.00555274768806262,CHM1
2195,932241,0.0023545413685946,CHM1
356,64544,0.00551561725334655,CHM1
417,83450,0.004997004194128221,CHM1
548,87862,0.00623705356126653,CHM1
213,29028,0.00733774286895411,CHM1
5354,2763442,0.0019374388896166398,CHM1
2323,55313,0.0419973604758375,CHM1
1915,320955,0.00596656852206696,CHM1
310,84288,0.00367786636294609,CHM1
498,96833,0.00514287484638501,CHM1
506,57371,0.0088197870004009,CHM1
122,25364,0.00480996688219524,CHM1
93,27521,0.00337923767304967,CHM1
718,400612,0.00179225784549639,CHM1
1099,40565,0.0270923209663503,CHM1
102,24163,0.0042213301328477395,CHM1
403,58614,0.00687549049715085,CHM1
2010,235573,0.00853238698832209,CHM1
377,9077,0.0415335463258786,CHM1
1551,163371,0.009493728997190441,CHM1
3046,80113,0.0380212949209242,CHM1
2869,86314,0.0332391037375165,CHM1
284,29052,0.00977557483133691,CHM1
582,85205,0.006830585059562229,CHM1
827,41429,0.0199618624634918,CHM1
395,22082,0.0178878724753193,CHM1
7223,3965400,0.00182150602713472,CHM1
292,38472,0.007589935537533791,CHM1
1170,338811,0.00345325269840708,CHM1
1271,337909,0.0037613677055065103,CHM1
921,46211,0.0199303196208695,CHM1
417,26974,0.0154593312078298,CHM1
38,13178,0.00288359386856883,CHM1
7546,5094076,0.0014813285078589301,CHM1
