match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
8865,268.0,181.0,21074.0,744,9133,0.029344136647322897,0.019818241541662104,295.0
6971,175.0,58.0,25388.0,454,7146,0.02448922474111391,0.00811642877134061,221.0
8478,251.0,127.0,6849.0,671,8729,0.02875472562721961,0.014549203803413908,293.0
4454,3.0,109.0,7167.0,181,4457,0.0006730984967466906,0.02445591204846309,69.0
55853,41.0,224.0,43471.0,722,55894,0.0007335313271549719,0.004007585787383261,457.0
20685,44.0,179.0,0.0,332,20729,0.0021226301316995514,0.008635245308504994,109.0
75461,1197.0,1590.0,91.0,3595,76658,0.015614808630540844,0.020741475123274806,808.0
49047,163.0,94.0,7623.0,505,49210,0.00331233489128226,0.0019101808575492786,248.0
80328,73.0,283.0,210.0,728,80401,0.000907948906108133,0.0035198567182000225,372.0
52681,20.0,105.0,282.0,169,52701,0.00037949944023832566,0.0019923720612512095,44.0
16984,1.0,26.0,0.0,34,16985,5.88754783632617e-05,0.0015307624374448043,7.0
24196,4.0,137.0,65.0,171,24200,0.00016528925619834712,0.005661157024793389,30.0
24266,204.0,337.0,257.0,743,24470,0.008336738863914998,0.013771965672251738,202.0
48452,18.0,51.0,8724.0,105,48470,0.0003713637301423561,0.0010521972354033424,36.0
440684,515.0,287.0,6603.0,1177,441199,0.0011672737245551326,0.0006505001144608215,375.0
46289,36.0,199.0,14000.0,367,46325,0.000777118186724231,0.004295736643281166,132.0
36918,454.0,1510.0,0.0,2490,37372,0.012148132291555175,0.04040458096970995,526.0
23810,89.0,521.0,0.0,783,23899,0.003724005188501611,0.021800075316958867,173.0
36979,12.0,53.0,1953.0,93,36991,0.0003244032332188911,0.001432780946716769,28.0
45245,8.0,167.0,5.0,246,45253,0.00017678385963361545,0.0036903630698517224,71.0
13011,35.0,331.0,53.0,423,13046,0.0026828146558332054,0.02537176145945117,57.0
22775,10.0,42.0,20.0,76,22785,0.00043888523151195964,0.0018433179723502304,24.0
626514,677.0,359.0,289222.0,1828,627191,0.0010794159992729487,0.0005723934176351383,792.0
13703,33.0,200.0,10679.0,260,13736,0.0024024461269656376,0.014560279557367502,27.0
150468,154.0,179.0,115573.0,755,150622,0.0010224270026954895,0.0011884054122239778,422.0
71063,101.0,140.0,0.0,368,71164,0.0014192569276600528,0.001967286830419875,127.0
42935,68.0,95.0,4575.0,452,43003,0.0015812850266260494,0.002209148198962863,289.0
