match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
13588,86.0,284.0,4306.0,954,13674,0.006289308176100629,0.02076934327921603,584.0
15643,168.0,306.0,1442.0,1120,15811,0.010625513882739865,0.019353614572133325,646.0
14975,142.0,292.0,896.0,1125,15117,0.009393398161010782,0.019316001852219357,691.0
4815,50.0,162.0,1204.0,539,4865,0.010277492291880781,0.03329907502569373,327.0
3832,1.0,28.0,17.0,36,3833,0.00026089225150013044,0.007304983042003652,7.0
4597,59.0,126.0,783.0,376,4656,0.012671821305841924,0.027061855670103094,191.0
10994,641.0,466.0,880.0,1258,11635,0.055092393639879673,0.040051568543188656,151.0
7011,8.0,114.0,0.0,150,7019,0.0011397634990739421,0.016241629861803674,28.0
244,1.0,0.0,0.0,1,245,0.004081632653061225,0.0,0.0
4735,10.0,44.0,1637.0,273,4745,0.002107481559536354,0.009272918861959958,219.0
6169,8.0,112.0,0.0,148,6177,0.0012951270843451514,0.01813177918083212,28.0
5411,8.0,111.0,0.0,147,5419,0.0014762871378483115,0.02048348403764532,28.0
6687,16.0,205.0,444.0,435,6703,0.002386990899597195,0.030583320901089065,214.0
14960,572.0,837.0,380.0,2965,15532,0.036827195467422094,0.05388874581509143,1556.0
9108,373.0,327.0,5025.0,1895,9481,0.039341841577892625,0.03449003269697289,1195.0
184406,594.0,654.0,566565.0,1421,185000,0.003210810810810811,0.0035351351351351353,173.0
25213,252.0,211.0,5227.0,514,25465,0.009895935597879442,0.008285882583938739,51.0
43477,211.0,144.0,0.0,411,43688,0.004829701519868156,0.003296099615455045,56.0
73307,112.0,442.0,25872.0,593,73419,0.0015254906768002834,0.006020239992372546,39.0
11564,44.0,30.0,11611.0,79,11608,0.003790489317711923,0.002584424534803584,5.0
16239,16.0,82.0,8897.0,157,16255,0.0009843125192248539,0.005044601661027376,59.0
7314,4.0,21.0,0.0,58,7318,0.0005465974309920743,0.00286963651270839,33.0
5472,1.0,4.0,0.0,16,5473,0.0001827151470856934,0.0007308605883427736,11.0
600945,803.0,2226.0,2257484.0,3684,601748,0.0013344456483444897,0.0036992229305290586,655.0
16178,4.0,30.0,562.0,45,16182,0.00024718823384006923,0.0018539117538005192,11.0
2111,0.0,7.0,0.0,9,2111,0.0,0.0033159639981051635,2.0
19684,90.0,131.0,14701.0,282,19774,0.004551431172246385,0.006624860928491959,61.0
16902,33.0,178.0,6290.0,249,16935,0.0019486271036315323,0.010510776498376144,38.0
9037,75.0,78.0,0.0,177,9112,0.008230904302019315,0.008560140474100088,24.0
4447,39.0,98.0,0.0,145,4486,0.008693713776192599,0.021845742309407043,8.0
14802,5.0,68.0,3380.0,89,14807,0.00033767812521104883,0.004592422502870264,16.0
10422,7.0,44.0,799.0,64,10429,0.0006712052929331671,0.0042190046984370505,13.0
10411,71.0,45.0,837.0,134,10482,0.006773516504483877,0.004293073840870063,18.0
10388,12.0,68.0,709.0,100,10400,0.001153846153846154,0.006538461538461538,20.0
17192,245.0,35.0,0.0,287,17437,0.014050582095543959,0.002007226013649137,7.0
17179,152.0,48.0,0.0,208,17331,0.008770411401534822,0.0027696036004846805,8.0
21742,12.0,47.0,0.0,96,21754,0.0005516226900799853,0.0021605222028132755,37.0
22536,85.0,57.0,0.0,158,22621,0.0037575703991865965,0.002519782502983953,16.0
34162,63.0,75.0,0.0,167,34225,0.0018407596785975165,0.002191380569758948,29.0
723252,5545.0,6508.0,2812954.0,14392,728797,0.007608428684530809,0.008929784288354645,2339.0
11118,5.0,30.0,1907.0,38,11123,0.00044951901465431986,0.002697114087925919,3.0
970267,1082.0,2777.0,802443.0,4439,971349,0.0011139147721364823,0.002858910649004632,580.0
14908,24.0,37.0,2830.0,78,14932,0.0016072863648540047,0.0024778998124832573,17.0
805510,861.0,2446.0,302388.0,3888,806371,0.001067746731963327,0.0030333432129875703,581.0
12796,68.0,53.0,0.0,137,12864,0.005286069651741294,0.004120024875621891,16.0
18285,6.0,76.0,0.0,111,18291,0.0003280301787764474,0.004155048931168334,29.0
29097,22.0,215.0,0.0,612,29119,0.0007555204505649232,0.007383495312339023,375.0
12704,0.0,70.0,0.0,114,12704,0.0,0.00551007556675063,44.0
12213,10.0,131.0,0.0,215,12223,0.0008181297553792031,0.010717499795467562,74.0
5218,0.0,9.0,17.0,22,5218,0.0,0.0017247987734764277,13.0
9715,38.0,34.0,0.0,137,9753,0.0038962370552650468,0.0034861068389213574,65.0
9677,31.0,72.0,0.0,177,9708,0.00319324268644417,0.007416563658838072,74.0
8154,18.0,47.0,0.0,126,8172,0.0022026431718061676,0.005751346059716104,61.0
19603,35.0,135.0,0.0,290,19638,0.001782258885833588,0.0068744271310724105,120.0
10475,21.0,55.0,0.0,116,10496,0.0020007621951219513,0.0052400914634146345,40.0
5413,21.0,21.0,0.0,59,5434,0.0038645564961354434,0.0038645564961354434,17.0
39707,8.0,156.0,0.0,245,39715,0.00020143522598514414,0.003927986906710311,81.0
30255,15.0,167.0,0.0,325,30270,0.0004955401387512388,0.0055170135447637925,143.0
17242,18.0,77.0,0.0,148,17260,0.0010428736964078794,0.004461181923522596,53.0
17200,35.0,93.0,0.0,187,17235,0.0020307513780098638,0.005395996518711923,59.0
7503,4.0,31.0,0.0,56,7507,0.0005328360197149328,0.004129479152790729,21.0
11268,83.0,51.0,13482.0,184,11351,0.007312131089771827,0.004492996211787508,50.0
19734,12.0,123.0,0.0,206,19746,0.0006077180188392585,0.0062291096931024,71.0
14755,26.0,92.0,686.0,198,14781,0.001759014951627089,0.006224206751911238,80.0
93367,166.0,392.0,0.0,976,93533,0.0017747746784557321,0.004191034180449681,418.0
23480,32.0,189.0,0.0,345,23512,0.0013610071452875127,0.008038448451854372,124.0
19029,35.0,90.0,1869.0,329,19064,0.0018359211078472514,0.004720939991607218,204.0
18615,163.0,238.0,7326.0,456,18778,0.008680370646501226,0.012674406220044733,55.0
12543,22.0,24.0,1725.0,53,12565,0.0017508953442101074,0.001910067648229208,7.0
1847864,8903.0,12754.0,1279473.0,25933,1856767,0.00479489348959778,0.006868928627016745,4276.0
2239,1.0,3.0,0.0,9,2240,0.0004464285714285714,0.0013392857142857143,5.0
